story_id,Truth Value,Premises used,Derivation,Derivation - Corrected,Derivation index,Inference rule
,,"D3, D4",The Spanish Nationalists opposed Lorca and Lorca was popular.,,D5,conjunction introduction
,,"D5, 4",Spanish Nationalists killed Lorca.,,D6,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
42,F,,,,,
,,2,James Cocks sat in the House of Commons.,,D1,conjunction elimination
,,"D1, 1",James Cocks was a lawyer who sat in the House of Commons.,,D2,conjunction introduction
,,D2,Some lawyer sat in the House of Commons.,,D3,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
42,T,,,,,
,,1,James Cocks was a British.,,D1,conjunction elimination
,,"D1, 3",James Cocks was a a European.,,D2,universal instantiation
,,1,James Cocks was a lawyer,,D3,conjunction elimination
,,"D3, 4",James Cock was familiar with laws.,,D4,universal instantiation
,,"D4, D2",James Cock was a European and familiar with laws.,,D5,conjunction introduction
,,D5,Some European was familiar with laws.,,D6,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
42,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
43,T,,,,,
,,1,Imagine Dragons is a rock band.,,D1,conjunction elimination
,,"D1, 2",Imagine Dragon is a rock band whose lead singer is Dan.,,D2,conjunction introduction
,,"D2, 3",Imagine Dragon is a rock band whose lead singer is Dan and Dan is also a songwriter.,,D3,conjunction introduction
,,D3,Some rock band has a lead singer that is Dan and Dan is also a songwriter.,,D4,existential generalization
,,D4,Some rock band has a lead singer who is also a songwriter.,,D5,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
43,F,,,,,
,,"2, 4",Dan is a singer.,,D1,universal instantiation
,,"D1, 5",Dan is a musician.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
43,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
44,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
44,T,,,,,
,,"2, 3",Andrew Wilson specializes in Poland.,,D1,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
44,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
44,F,,,,,
,,1,Andrew Wilson is a British political scientist.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
45,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
45,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
45,T,,,,,
,,"1, 2","SR 287 is in Alabama, which is in United States.",,D1,conjunction introduction
,,"D1, 5",SR 287 is in in United States.,,D2,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
46,T,,,,,
,,1,Breeding back is a form of artificial selection.,,D1,conjunction elimination
,,2,Heck cattle were bred-back in the 1920s.,,D2,conjunction elimination
,,"D1, D2",Heck cattle were artificially selected in the 1920s.,,D3,hypothetical syllogism
,,D3,Some Heck cattle were artificially selected in the 1920s.,,D4,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
46,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
47,"U
",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
47,"T
",,,,,
,,2,Some controlled substances are beneficial.,,D1,conjunction elimination
,,"D1, 1",Some drugs are beneficial.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
47,T,,,,,
,,4,A child in chemical endangerment is in harm. ,,D1,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
48,T,,,,,
,,1,Douglas Adams is an author.,,D1,conjunction elimination
,,"D1, 3",Douglas Adams is a writer.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
48,T,,,,,
,,1,Douglas Adams is an author.,,D1,conjunction elimination
,,"D1, 3",Douglas Adams is a writer.,,D2,universal instantiation
,,"D2, 4",Douglas Adams created innovative ideas.,,D3,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
48,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
49,T,,,,,
,,"3, 6",Quincy McDuffie can catch balls.,,D1,universal instantiation
,,"D1, 2",Quincy McDuffie is a good wide receiver.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
49,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
49,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
50,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
50,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
50,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
51,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
51,F,,,,,
,,2,The last summer Olympic games were in Tokyo.,,D1,None
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
51,T,,,,,
,,"2, 3",The United States won the most medals in the last summer Olympic games in Tokyo.,,D1,conjunction introduction
,,1,The United States won the most medals in the last summer Olympic games.,,D2,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
52,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
52,T,,,,,
,,"1, 3",The Lumina APV is either a car or a van. ,,D1,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
52,T,,,,,
,,2,The Astro is a van. ,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
52,F,,,,,
,,"2, 3",The Astro is not a car. ,,D1,disjunctive syllogism(xor)
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
53,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
53,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
53,F,,,,,
,,"3, 5",Joe is not an Asian New Zealander.,,D1,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
53,T,,,,,
,,"4, 5",Joe speaks Samoan.,,D1,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
54,T,,,,,
,,"3, 5",Cannons can be deployed on battery towers. ,,D1,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
54,T,,,,,
,,"4, 5",Roundels are older than battery towers.,,D1,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
54,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
54,T,,,,,
,,1,A roundel is an artillery fortification.,,D1,conjunction introduction
,,"D1, 3",Cannons can be deployed on roundels.,,D2,hypothetical syllogism
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
55,"U
",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
55,"T
",,,,,
,,6,Bob is a businessman.,,D1,conjunction elimination
,,"D1, 5",Bob can handle money well.,,D2,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
55,"T
",,,,,
,,6,Bob has ownership over Microsoft.,,D1,conjunction elimination
,,"D1, 2",Bob makes money off Microsoft.,,D2,universal instantiation and modus ponens
,,6,Bob is a businessman.,,D3,conjunction elimination
,,"D3, D2",Bob is a businessman who makes money off Microsoft.,,D4,conjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
56,"F
",,,,,
,,"5, 2",Elizabeth is not a king.,,D1,disjunctive syllogism (check - xor)
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
56,"T
",,,,,
,,"6,1 ",Elizabeth has power.,,D1,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
56,"T
",,,,,
,,6,Elizabeth is a leader of a country for llife. ,,D1,None
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
57,T,,,,,
,,6,Leo is a pet.,,D1,conjunction elimination
,,"D1, 1",Leo is an animal.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
57,F,,,,,
,,6,Charlie has a pet named Leo.,,D1,conjunction elimination
,,"D1, 3",Charlie cares for Leo.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
57,F,,,,,
,,6,Leo is a naughty dog.,,D1,conjunction elimination
,,D1,There exists a naughty dog.,,D2,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
58,T,,,,,
,,4,Walden is a book.,,D1,conjunction elimination
,,"D1, 1",Walden contains knowledge.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
58,T,,,,,
,,"4, 2",Harry gains knowledge.,,D1,universal instantiation
,,"D1, 3",Harry becomes smarter.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
58,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
59,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
59,T,,,,,
,,"5, 2",LG34 machine is cheaper than its original price.,,D1,universal instantiation
,,"D1, 3",LG34 has a resolution of 1080p.,,D2,universal instantiation
,,"D2, 4",LG34 does not support the type-c port.,,D3,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
59,F,,,,,
,,"5, 2",LG34 machine is cheaper than its original price.,,D1,universal instantiation
,,"D1, 3",LG34 has a resolution of 1080p.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
60,T,,,,,
,,"6, 2",Tower A is in New Haven.,,D1,universal instantiation
,,"D1, 2",Tower A is low.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
60,F,,,,,
,,"7, 5",Tower B is owned by Bloomberg.,,D1,universal instantiation
,,"D1, 4",Tower B is located in Manhattan.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
60,F,,,,,
,,"7, 5",Tower B is owned by Bloomberg.,,D1,universal instantiation
,,"D1, 4",Tower B is located in Manhattan.,,D2,universal instantiation
,,"D2, 3",Tower B is high.,,D3,universal instantiation
,,"D3, 1",Tower B is not located in New Haven.,,D4,modus tollens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
61,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
61,T,,,,,
,,"5, 6",Jamaica Blue has a high price.,,D1,universal instantiation and modus ponens
,,"D1, 3",Jamaica Blue is favored by local residents.,,D2,universal instantiation and modus ponens
,,"D2, 2",Jamaica Blue is from Columbia.,,D3,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
61,T,,,,,
,,"5, 6",Jamaica Blue has a high price.,,D1,universal instantiation and modus ponens
,,"D1, 3",Jamaica Blue is favored by local residents.,,D2,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
62,T,,,,,
,,"5, 2",ModelXX is conncted to the company's wifi. ,,D1,universal instantiation
,,"D1, 4",ModelXX is easy to operate.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
62,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
62,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
63,F,,,,,
,,4,James attends the conference,,D1,conjunction elimination
,,"2, D1",James attends the conference either in person or remotely.,,D2,universal instantiation
,,4,James does not attend the conference remotely.,,D3,conjunction elimination
,,"D3, D2",James attend the conference in person.,,D4,disjunctive syllogism
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
63,T,,,,,
,,"5, 3",Jack does not attend the conference remotely.,,D1,conjunction elimination
,,"D1, 2",Jack attends the conference in person.,,D2,disjunctive syllogism
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
63,T,,,,,
,,"5, 3",Jack does not attend the conference remotely.,,D1,conjunction elimination
,,"D1, 2",Jack attends the conference in person.,,D2,disjunctive syllogism
,,"D2, 1",Jack has registered for the conference.,,D3,universal instantiation
,,, ,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
64,T,,,,,
,,6,Family History is a novel.,,D1,conjunction elimination
,,"D1, 5","Dani Shapiro wrote Family history, which is a novel.",,D2,conjunction introduction
,,"D2, 3",Dani Shapiro is a novel writer.,,D3,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
64,F,,,,,
,,7,Family Secrets is a podcast.,,D1,conjunction elimination
,,"D1, 1",Family Secrets is not a novel.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
64,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
65,T,,,,,
,,"3, 4","Dennis Green coached Minnesota Vikings, which is a football club.",,D1,conjunction introduction
,,"D1, 1",Dennis Green is a football coach.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
65,F,,,,,
,,"7, 6",John Randle was Minnesota Vikings defensive tackle in 1997 and Minnesota Vikings was in the National Football League in 1997.,,D1,conjunction introduction
,,"D1, 2",John Randle played in the National Football League.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
65,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
66,T,,,,,
,,"5, 8",LA is a city in CA and CA is a state in US.,,D1,conjunction introduction
,,"D1, 2",LA is a US city.,,D2,universal instantiation
,,"D2, 4",LA holds the 2028 Summer Olympics and LA is a US city.,,D3,conjunction introduction
,,"D3, 1",The 2028 Summer Olympics will take place in the US.,,D4,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
66,F,,,,,
,,"7, 10",Atlanta is in Georgia and Atlanta in the United States hold the 1996 Summer Olympics.,,D1,conjunction introduction
,,"D1, 3",The 1996 Summer Olympics is in Georgia. ,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
66,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
67,T,,,,,
,,"3, 4","Trouble at the Henhouse is an album by The Tragically Hip, which is a Canadian rock band.",,D1,conjunction introduction
,,"D1, 1",The genre of Trouble at the Henhouse is rock.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
67,F,,,,,
,,"3, 4","Trouble at the Henhouse is an album by The Tragically Hip, which is a Canadian rock band.",,D1,conjunction introduction
,,"D1, 6","Trouble at the Henhouse by The Tragically Hip, which is a Canadian rock band won the Album of the year.",,D2,conjunction introduction
,,D2,"An album by The Tragically Hip, which is a Canadian rock band won the Album of the year.",,D3,existential generalization
,,D3,A Canadian rock band won the Album of the year.,,D4,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
67,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
68,T,,,,,
,,"5, 6","Lana Wilson is from Kirkland, which is a US city.",,D1,conjunction introduction
,,"D1, 7",Lana Wilson is from the US.,,D2,universal instantiation
,,1,Lana Wilson directed AfterTiller.,,D3,conjunction elimination
,,D3,Lana Wilson directed a film.,,D4,existential generalization
,,"D4, 2",Lana Wilson is a filmmaker.,,D5,universal instantiation
,,"D5, D2",Lana Wilson is a US filmmaker.,,D6,conjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
68,F,,,,,
,,1,Lana Wilson directed Miss Americana.,,D1,conjunction elimination
,,D1,Lana Wilson directed a film.,,D2,existential generalization
,,"D2, 2",Lana Wilson is a filmmaker.,,D3,universal instantiation
,,"D3, D1",Miss Americana is directed by a filmmaker.,,D4,existential generalization
,,"D4, 5",Miss Americana is directed by a filmmaker from Kirkland.,,D5,conjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
68,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
69,T,,,,,
,,5,The son of Brian Winter is a football player.,,D1,conjunction elimination
,,"D1, 3",The son of Brian Winter is a football player and Brian Winter is a referee observer.,,D2,conjunction introduction
,,D2,There is a son of a referee observer that plays football.,,D3,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
69,F,,,,,
,,3,Brian Winter wa a referee observer.,,D1,None
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
69,T,,,,,
,,2,Brian Winter retired.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
69,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
70,T,,,,,
,,4,Michael O'Donnell was the son of a general practitioner.,,D1,conjunction elimination
,,"D1, 2","Michael O'Donnell, who was one of the word setters of My Word! was the son of a general practitioner. ",,D2,conjunction introduction
,,D2,The son of a general practitioner was a word-setter of My Word!.,,D3,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
70,F,,,,,
,,3,World Medicine is a magazine.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
70,F,,,,,
,,1,Michael O'Donnell is a British author.,,D1,conjunction elimination
,,2,There was a British author.,,D2,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
70,F,,,,,
,,1,Michael O'Donnell is a journalist.,,D1,conjunction elimination
,,4,Michael O'Donnell was born in Yorkshire.,,D2,conjunction elimination
,,"D1, D2",Michael O'Donnell is a journalist that was born in Yorkshire.,,D3,conjunction introduction
,,D3,There was a journalist that was born in Yorkshire.,,D4,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
70,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
71,T,,,,,
,,4,Herodicus was a tutor of Hippocrates.,,D1,None
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
71,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
71,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
71,F,,,,,
,,5,Massages were recommended by Herodicus.,,D1,None
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
71,T,,,,,
,,"2, 3","Herodicus was born in the city of Selymbria, which is a colony of the city-state Megara.",,D1,conjunction introduction
,,D1,Herodicus was born in a colony of a city-state.,,D2,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
72,T,,,,,
,,2,Enterococcus Durans is a catalase-negative bacteria.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
72,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
72,F,,,,,
,,"3, 4","Some strains of Enterococcus Durans have been identified as producers of anti-inflammatory agents, which are being studied in medical research.",,D1,conjunction introduction
,,D1,Some strains of Enterococcus Durans produce things that are being studied.,,D2,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
73,T,,,,,
,,"4, 1",Yevgeny Kurochkin was the discoverer of Ambiortus and Ambiortus is a prehistoric bird genus.,,D1,conjunction introduction
,,D1,Yevgeny Kurochkin discovered a new bird genus.,,D2,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
73,F,,,,,
,,"2, 3",Ambiorus Dementjevi is the only known species of Ambiortus and they lived in Mongolia.,,D1,conjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
73,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
73,T,,,,,
,,"2, 3",Ambiorus Dementjevi is the only known species of Ambiortus and they lived in Mongolia.,,D1,conjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
74,T,,,,,
,,"1, 4",Camp Davern is one of Ontario's oldest summer camps and is a traditional summer camp for boys and girls.,,D1,conjunction introduction
,,D1,One of Ontario's oldest summer camps is a traditional summer camp for boys and girls.,,D2,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
74,T,,,,,
,,"1, 3", Camp Davern is a traditional summer camp for boys and girls and was operated by the YMCA until the year 2015.,,D1,conjunction introduction
,,D1,A traditional summer camp for boys and girls was operated by the YMCA until the year 2015.,,D2,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
74,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
75,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
75,F,,,,,
,,"2, 4",Robert Zimmer is a writer.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
75,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
76,T,,,,,
,,"2, 6",Asa Hoffmann lives in New York City.,,D1,universal instantiation
,,"D1, 1",Asa Hoffmann was born an lives in New York City.,,D2,conjunction introduction
,,"D2, 5",Asa Hoffmann is a New Yorker.,,D3,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
76,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
76,F,,,,,
,,"2, 6",Asa Hoffmann lives in New York City.,,D1,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
77,T,,,,,
,,1,Jan Jelinek makes glitch.,,D1,conjunction elimination
